"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00-04",2024-05-16,2024-05-12,0,"mean",NA,1310
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.025,1132
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.05,1149
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.075,1161
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.1,1172
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.125,1181
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.15,1190
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.175,1198
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.2,1205
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.225,1213
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.25,1220
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.275,1227
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.3,1234
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.325,1241
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.35,1247
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.375,1254
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.4,1261
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.425,1268
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.45,1275
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.475,1282
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.5,1289
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.525,1297
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.55,1304
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.575,1312
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.6,1320
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.625,1328
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.65,1337
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.675,1346
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.7,1356
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.725,1366
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.75,1378
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.775,1389
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.8,1403
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.825,1417
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.85,1433
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.875,1452
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.9,1474
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.925,1503
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.95,1541
"DE","00-04",2024-05-16,2024-05-12,0,"quantile",0.975,1604
"DE","00-04",2024-05-16,2024-05-05,-1,"mean",NA,2045
