location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-08-03,2023-08-06,1,quantile,0.025,2006.9082907337583
DE,00+,2023-08-03,2023-08-13,2,quantile,0.025,1673.8405752726587
DE,00+,2023-08-03,2023-08-20,3,quantile,0.025,1743.5157033660987
DE,00+,2023-08-03,2023-08-27,4,quantile,0.025,1346.9966140409194
DE,00-04,2023-08-03,2023-08-06,1,quantile,0.025,84.76806007004156
DE,00-04,2023-08-03,2023-08-13,2,quantile,0.025,79.02983765639415
DE,00-04,2023-08-03,2023-08-20,3,quantile,0.025,90.32128264503142
DE,00-04,2023-08-03,2023-08-27,4,quantile,0.025,167.67120126919642
DE,05-14,2023-08-03,2023-08-06,1,quantile,0.025,79.00407751693851
DE,05-14,2023-08-03,2023-08-13,2,quantile,0.025,75.81442193857833
DE,05-14,2023-08-03,2023-08-20,3,quantile,0.025,84.20050957968532
DE,05-14,2023-08-03,2023-08-27,4,quantile,0.025,111.68337526574437
DE,15-34,2023-08-03,2023-08-06,1,quantile,0.025,84.34626343991582
DE,15-34,2023-08-03,2023-08-13,2,quantile,0.025,75.84549448632865
DE,15-34,2023-08-03,2023-08-20,3,quantile,0.025,88.47765368124197
DE,15-34,2023-08-03,2023-08-27,4,quantile,0.025,139.64881614628686
DE,35-59,2023-08-03,2023-08-06,1,quantile,0.025,84.34453429110695
DE,35-59,2023-08-03,2023-08-13,2,quantile,0.025,75.79534952745996
DE,35-59,2023-08-03,2023-08-20,3,quantile,0.025,89.1149255136697
DE,35-59,2023-08-03,2023-08-27,4,quantile,0.025,150.9608390480159
DE,60-79,2023-08-03,2023-08-06,1,quantile,0.025,84.34453429110695
DE,60-79,2023-08-03,2023-08-13,2,quantile,0.025,75.87321850365738
DE,60-79,2023-08-03,2023-08-20,3,quantile,0.025,89.21209269297644
DE,60-79,2023-08-03,2023-08-27,4,quantile,0.025,151.40307224577168
DE,80+,2023-08-03,2023-08-06,1,quantile,0.025,84.34453429110695
DE,80+,2023-08-03,2023-08-13,2,quantile,0.025,75.6579202032307
